sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,prime_decade_consistency,prime_cond,SOA,acc,RT,block,problem_size,timing
sj00,31,male,4,8,37,32,-1,0,unrelated,neutral,NA,neutral,SOA_170,1,1003,3,large,ok
sj00,31,male,5,4,20,20,23,0,product,unrelated,consistent,unrel_con,SOA_170,1,679,3,small,ok
sj00,31,male,4,5,17,20,-1,0,unrelated,neutral,NA,neutral,SOA_120,1,915,3,small,ok
sj00,31,male,6,6,36,36,30,0,product,neighbour,consistent,neigh_con,SOA_070,1,601,3,large,ok
sj00,31,male,3,5,15,15,10,0,product,neighbour,consistent,neigh_con,SOA_170,1,486,3,small,ok
sj00,31,male,7,4,34,28,28,0,unrelated,product,NA,NA,SOA_120,1,970,3,small,ok
sj00,31,male,8,5,40,40,48,0,product,neighbour,consistent,neigh_con,SOA_070,1,532,3,large,ok
sj00,31,male,5,7,35,35,30,0,product,neighbour,consistent,neigh_con,SOA_170,1,1158,3,large,ok
sj00,31,male,4,8,37,32,32,0,unrelated,product,NA,NA,SOA_120,1,988,3,large,ok
sj00,31,male,6,6,36,36,30,0,product,neighbour,consistent,neigh_con,SOA_120,1,1677,3,large,ok
sj00,31,male,4,4,13,16,-1,0,unrelated,neutral,NA,neutral,SOA_120,1,811,3,small,ok
sj00,31,male,4,7,26,28,-1,0,unrelated,neutral,NA,neutral,SOA_170,1,1157,3,small,ok
sj00,31,male,3,7,21,21,19,0,product,unrelated,inconsistent,unrel_inc,SOA_070,1,1227,3,small,ok
sj00,31,male,6,8,48,48,43,0,product,unrelated,consistent,unrel_con,SOA_170,1,876,3,large,ok
sj00,31,male,3,6,21,18,18,0,neighbour,product,NA,NA,SOA_070,1,970,3,small,ok
sj00,31,male,5,4,23,20,20,0,unrelated,product,NA,NA,SOA_120,1,612,3,small,ok
sj00,31,male,7,4,28,28,24,0,product,neighbour,consistent,neigh_con,SOA_120,1,1958,3,small,ok
sj00,31,male,4,5,20,20,-1,0,product,neutral,NA,neutral,SOA_120,1,572,3,small,ok
sj00,31,male,6,7,36,42,-1,0,neighbour,neutral,NA,neutral,SOA_070,0,1110,3,large,ok
sj00,31,male,4,4,16,16,13,0,product,unrelated,consistent,unrel_con,SOA_170,1,1124,3,small,ok
sj00,31,male,4,4,16,16,23,0,product,unrelated,inconsistent,unrel_inc,SOA_170,1,649,3,small,ok
